"Shiner Bock","Spoetzl Brewery",Bock,4.4,13,,,,,,,3.75,"2015-07-09 02:14:22",https://untappd.com/c/201399457,https://untappd.com/beer/4488,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Samuel Adams Boston Lager","Boston Beer Company (Samuel Adams)","Vienna Lager",4.7,30,,,,,,,3.75,"2015-07-10 21:39:28",https://untappd.com/c/202054072,https://untappd.com/beer/3914,https://untappd.com/brewery/157,"United States",Boston,MA
"Great White Buffalo","Buffalo Bayou Brewing",Witbier,5.8,22,"Great beer.","Wooster's Garden",Houston,TX,29.7415,-95.3795,4,"2015-07-11 21:16:58",https://untappd.com/c/202610042,https://untappd.com/beer/785793,https://untappd.com/brewery/15624,"United States",Houston,TX
"Weekend Warrior","Karbach Brewing Co","American Pale Ale",5.5,40,"A pretty sweet beer. I like it.","Wooster's Garden",Houston,TX,29.7415,-95.3795,4,"2015-07-11 21:59:12",https://untappd.com/c/202636395,https://untappd.com/beer/285993,https://untappd.com/brewery/14665,"United States",Houston,TX
"Pine Belt Pale","Southern Star Brewing Company","American Pale Ale",6.5,0,"That's one good beer. Straight from Conroe. Local beer. I like it.","Wooster's Garden",Houston,TX,29.7415,-95.3795,3.75,"2015-07-11 22:26:28",https://untappd.com/c/202650968,https://untappd.com/beer/5826,https://untappd.com/brewery/1172,"United States",Conroe,TX
"White Noise","Saint Arnold Brewing Company",Witbier,0,0,"Another good sweet local beer",,,,,,4,"2015-07-11 23:01:59",https://untappd.com/c/202667029,https://untappd.com/beer/344400,https://untappd.com/brewery/2940,"United States",Houston,TX
"Samuel Adams Boston Lager","Boston Beer Company (Samuel Adams)","Vienna Lager",4.7,30,"Oh my god",,,,,,3.75,"2015-07-12 00:32:43",https://untappd.com/c/202692941,https://untappd.com/beer/3914,https://untappd.com/brewery/157,"United States",Boston,MA
"Samuel Adams Boston Lager","Boston Beer Company (Samuel Adams)","Vienna Lager",4.7,30,,,,,,,3.75,"2015-07-13 22:47:58",https://untappd.com/c/203251016,https://untappd.com/beer/3914,https://untappd.com/brewery/157,"United States",Boston,MA
"Shiner Premium","Spoetzl Brewery","Golden Lager",4.5,13,,,,,,,2.75,"2015-07-15 00:38:52",https://untappd.com/c/203505906,https://untappd.com/beer/305779,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Busch Beer",Anheuser-Busch,"North American Adjunct Lager",4.3,0,,,,,,,2.75,"2015-07-15 21:42:12",https://untappd.com/c/203736036,https://untappd.com/beer/7377,https://untappd.com/brewery/44,"United States","St. Louis",MO
"Samuel Adams Boston Lager","Boston Beer Company (Samuel Adams)","Vienna Lager",4.7,30,,,,,,,3.75,"2015-07-17 00:40:43",https://untappd.com/c/204081025,https://untappd.com/beer/3914,https://untappd.com/brewery/157,"United States",Boston,MA
"Busch Beer",Anheuser-Busch,"North American Adjunct Lager",4.3,0,,,,,,,2.75,"2015-07-17 21:07:22",https://untappd.com/c/204449238,https://untappd.com/beer/7377,https://untappd.com/brewery/44,"United States","St. Louis",MO
Weedwacker,"Saint Arnold Brewing Company",Kölsch,4.9,15,Meh,,,,,,3,"2015-07-18 23:47:08",https://untappd.com/c/205133693,https://untappd.com/beer/25684,https://untappd.com/brewery/2940,"United States",Houston,TX
"Shiner Bock","Spoetzl Brewery",Bock,4.4,13,,,,,,,4,"2015-07-18 23:47:36",https://untappd.com/c/205133742,https://untappd.com/beer/4488,https://untappd.com/brewery/1179,"United States",Shiner,TX
"Cinnamon Horchata Ale","Blue Moon Brewing Company","Herbed/Spiced Beer",5.5,0,,,,,,,4,"2015-07-18 23:47:41",https://untappd.com/c/205133838,https://untappd.com/beer/612704,https://untappd.com/brewery/127804,"United States",Denver,CO
"Shiner Prickly Pear","Spoetzl Brewery","Fruit Beer",4.9,20,,,,,,,3,"2015-07-20 11:05:21",https://untappd.com/c/205541757,https://untappd.com/beer/159869,https://untappd.com/brewery/1179,"United States",Shiner,TX
